[2026-01-16 03:47:35] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:47:39] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:47:52] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:47:59] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:48:03] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:48:15] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:48:30] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:48:35] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:48:48] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:48:55] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:49:06] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:54:25] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:54:30] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:55:18] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:55:24] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 03:55:41] Student: 2203858901, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 05:16:57] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 05:17:07] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 05:22:51] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 1, IsPremium: YES
[2026-01-16 05:23:03] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 1, IsPremium: YES
[2026-01-16 05:23:14] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 2, IsPremium: YES
[2026-01-16 05:23:30] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 2, IsPremium: YES
[2026-01-16 05:23:53] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 3, IsPremium: YES
[2026-01-16 05:23:57] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 3, IsPremium: YES
[2026-01-16 05:24:08] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:15:02] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:15:03] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:15:05] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:15:06] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:15:07] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:15:10] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:17:12] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:17:12] Student: 2203857096, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 4, IsPremium: YES
[2026-01-16 06:17:29] Student: 2203857097, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 06:17:34] Student: 2203857097, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 06:17:37] Student: 2203857097, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-16 06:17:39] Student: 2203857097, TestID: SUB_20260116030406_ddc95e, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:19:10] Student: 2200868426, TestID: SUB_20260120151306_70f5f5, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:25:23] Student: 2200868426, TestID: SUB_20260120151306_70f5f5, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:25:23] Student: 2200868426, TestID: SUB_20260120152514_719a81, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:30:57] Student: 2200868426, TestID: SUB_20260120151306_70f5f5, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:30:57] Student: 2200868426, TestID: SUB_20260120152514_719a81, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:34:11] Student: 2200868426, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:34:11] Student: 2200868426, TestID: SUB_20260120153121_9e60cd, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:34:23] Student: 2200868426, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
[2026-01-20 15:53:11] Student: 2200868426, TestID: SUB_20260120153121_9e60cd, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:53:17] Student: 2200868426, TestID: SUB_20260120153121_9e60cd, ExamType: official, Attempts: 0, IsPremium: NO
[2026-01-20 15:55:22] Student: 2200868427, TestID: BAI_20260120153129_0ac538, ExamType: practice, Attempts: 0, IsPremium: NO
